Policy ID,Policy Name,Policy Type,Risk Level,Expected ROI,Investment Horizon,Liquidity,Tax Efficiency,Minimum Investment,Maximum Investment,Fee Structure,Target Audience,Investment Goals,Historical 1-Year Return,Historical 3-Year Return,Historical 5-Year Return,Volatility,Sharpe Ratio,Max Drawdown,Tax Advantages,Customer Rating,Lock-in Period,Exit Fees/Withdrawal Penalties
acba12f6-0349-417c-aa13-1fa22ab5ea57,Sloan Inc Investment Fund,Mutual Fund,Medium,6.14,7+ years,High,Medium,20359,643988,High,Tax Savers,Wealth Creation,5.82,9.4,6.41,12.53,1.91,14.07,Tax-free dividends,3.8,5,2.96
a4e548db-d30c-463b-880c-b120e7096a79,Adams-Olson Investment Fund,Stock Portfolio,Medium,8.63,1-3 years,High,High,38689,943923,High,Young Professionals,College Fund,6.12,8.93,10.45,15.32,0.75,24.39,Tax-free dividends,4.9,1,2.11
777a10dd-b6cf-493f-a014-f9cb4917b135,Delacruz-Mason Investment Fund,Stock Portfolio,Low,10.7,1-3 years,Medium,High,37473,876382,High,Young Professionals,College Fund,12.26,11.09,6.57,18.63,1.31,40.78,None,4.6,1,0.56
b4de1d1e-30c6-4f70-9d92-fea69bb1ec5c,"Coleman, Cordova and Davis Investment Fund",Mutual Fund,Low,9.7,3-7 years,Low,High,44084,215269,High,High Net Worth Individuals,College Fund,4.18,13.68,10.31,16.77,1.7,15.43,None,3.6,3,1.88
1f55b913-5cda-4e3b-95a2-06def49c500f,Hanson-Mccall Investment Fund,Real Estate,Low,5.67,7+ years,Medium,Low,38164,315832,Moderate,Retirees,Tax Savings,10.41,5.05,4.22,5.02,1.61,48.52,Tax-free dividends,3.9,1,2.65
69d98cef-fe57-45c7-b3f4-6f9d6b55c808,Pacheco-Jackson Investment Fund,Bond,Medium,5.29,7+ years,Low,Low,46580,959078,Low,Tax Savers,Wealth Creation,8.61,9.84,8.7,10.29,1.35,45.23,Tax-deferred growth,4.4,5,2.08
3121d623-d852-49a4-8a4e-895110322008,"Baker, Williams and Wilson Investment Fund",Mutual Fund,Medium,8.99,1-3 years,Medium,High,40248,961514,Low,Retirees,Tax Savings,9.48,6.12,6.3,18.52,0.71,49.59,Tax-deferred growth,4.0,2,2.83
d75eec60-b151-4223-9a99-5e4b664244c6,"Carlson, Tyler and Moon Investment Fund",Real Estate,High,6.75,1-3 years,Medium,High,30535,829987,Low,General Public,Tax Savings,7.04,10.48,10.07,18.24,0.61,29.4,None,3.9,4,1.94
cd6ffbb7-c44a-436d-8865-ce4c4a3b3007,"Brown, Johnson and Ryan Investment Fund",ETFs,Low,6.24,3-7 years,Low,Low,12401,702801,Low,Retirees,Tax Savings,10.89,9.49,11.0,11.99,0.63,13.04,None,3.7,5,0.73
c7cacf6b-f01a-4768-b49e-e0500d0d4c5a,Williams-Woods Investment Fund,Mutual Fund,High,12.61,7+ years,High,Low,10662,803461,High,Retirees,College Fund,16.2,5.02,4.93,10.46,1.48,45.01,Tax-free dividends,3.6,2,1.34
cad65f0d-17f3-4992-a2cb-87bfc9f3297f,Johnson-Steele Investment Fund,Real Estate,Low,9.22,3-7 years,Low,High,29837,805221,High,General Public,Wealth Creation,4.17,7.29,4.31,7.21,1.08,38.87,Tax-deferred growth,4.6,1,1.25
18b20b42-f9d3-4ca7-9c5f-37df2c976a70,"Nelson, Rodriguez and Allen Investment Fund",Bond,Low,8.93,7+ years,High,Low,49254,828308,High,Retirees,Tax Savings,11.99,7.45,8.38,8.14,1.1,24.26,Tax-free dividends,3.7,2,0.49
c6e970c3-988f-4218-b339-6fc655eaadde,Martin Ltd Investment Fund,Stock Portfolio,High,10.67,1-3 years,High,Medium,1585,137206,Moderate,Young Professionals,Wealth Creation,9.78,7.62,5.47,19.34,1.34,14.82,None,4.1,4,1.81
98605c63-ff31-4ddb-83ef-879b317ed646,"Mack, Avila and Sanchez Investment Fund",Stock Portfolio,Low,12.81,3-7 years,Medium,Low,33008,438774,Low,Young Professionals,Tax Savings,7.55,8.38,6.51,7.96,1.32,41.17,None,3.7,4,0.11
a2914ec0-399a-4998-9288-078d7e79d303,West Ltd Investment Fund,Bond,Medium,8.85,7+ years,Low,Low,38585,978162,Low,High Net Worth Individuals,College Fund,8.05,11.55,7.4,19.65,1.61,23.23,Tax-deferred growth,5.0,5,1.76
ce86c460-33c6-4551-955b-10d5d937ed00,Brown and Sons Investment Fund,Stock Portfolio,Medium,7.89,1-3 years,High,Medium,13114,205534,Low,General Public,Wealth Creation,12.09,9.17,9.03,17.52,1.08,24.26,None,4.1,5,1.01
17d481e5-2197-4c16-b535-7437be0cc865,Yang Ltd Investment Fund,Real Estate,Medium,9.1,1-3 years,Low,Medium,34269,284804,High,High Net Worth Individuals,Emergency Fund,6.67,4.88,7.37,16.9,1.86,37.51,None,3.6,3,0.62
ee480a7a-5e6d-45df-9774-6a5e1f7fab33,Wise-Sparks Investment Fund,Mutual Fund,Low,8.32,3-7 years,Low,Medium,10181,278379,Moderate,Young Professionals,Emergency Fund,8.04,9.79,7.29,10.63,1.17,31.9,Tax-free dividends,5.0,2,2.19
f3e53e54-c0ba-4a55-95db-31e3cfb0fe4d,Guzman-Haney Investment Fund,Mutual Fund,Medium,9.83,7+ years,Medium,High,36818,262622,Low,High Net Worth Individuals,Tax Savings,5.92,11.64,6.73,12.68,1.79,27.26,None,3.5,1,1.41
b6e62242-f8b7-4e15-a721-9eee90265fae,Mckenzie Group Investment Fund,Stock Portfolio,High,14.29,7+ years,High,Medium,8063,417602,Low,Young Professionals,Emergency Fund,16.89,4.02,5.95,11.89,0.68,32.35,Tax-deferred growth,4.0,5,1.38
07b695e7-22e8-4cf2-9aef-b73243a6cd6c,Knox-Thompson Investment Fund,Bond,Low,14.4,7+ years,High,Medium,44124,72690,High,High Net Worth Individuals,Wealth Creation,17.25,11.98,10.22,10.67,0.66,18.84,Tax-free dividends,4.8,1,1.78
ac1ec5b9-eaa1-4b14-83fb-bd1307ce6526,Parks PLC Investment Fund,Bond,Medium,14.67,1-3 years,Medium,Low,16089,312380,High,Tax Savers,Emergency Fund,9.7,11.43,9.36,7.52,1.15,31.95,None,4.1,2,0.57
1a8d18b0-7c27-4eae-9174-bbc919531e1f,"Williams, Bell and Brown Investment Fund",Stock Portfolio,High,4.54,7+ years,Medium,High,33743,984465,High,General Public,College Fund,5.13,9.42,7.84,19.99,1.22,32.54,None,3.7,3,2.81
0a6ba12e-bd9d-4333-8b82-8e659dd893ea,Miller Group Investment Fund,Real Estate,Medium,12.89,1-3 years,Medium,Low,42743,70830,High,General Public,Emergency Fund,6.95,12.78,17.55,13.85,1.78,23.86,Tax-free dividends,4.2,5,0.7
e2b1e9b9-ed14-4a19-9ea3-72336b156d73,Graham-Lin Investment Fund,Real Estate,Low,7.02,1-3 years,High,Medium,8062,193208,High,High Net Worth Individuals,Retirement Planning,5.28,7.99,10.14,13.72,0.96,26.76,None,4.0,1,1.59
1f6abbe0-c460-4450-b083-10f45bbf4834,"Simon, Knight and Moses Investment Fund",ETFs,Medium,13.75,1-3 years,Low,High,15354,827211,High,Young Professionals,Retirement Planning,18.5,7.95,16.17,12.27,1.16,31.45,Tax-deferred growth,3.9,1,1.03
53868694-6177-4b1b-8474-22bef4cf60b0,Davis Group Investment Fund,Real Estate,High,13.56,3-7 years,High,Medium,36918,746997,High,General Public,College Fund,17.82,12.84,9.4,11.99,0.63,21.16,None,3.9,5,0.2
8525d9f3-72d9-48e3-9109-91fe2a65cbff,"Smith, Kelley and Barton Investment Fund",ETFs,Low,5.52,3-7 years,High,Low,18379,57385,Moderate,Retirees,Emergency Fund,9.89,9.86,10.04,12.44,0.64,32.12,None,4.3,5,2.59
b0f92e57-acfd-4e24-83d7-cbfee2254022,Rivas-Ross Investment Fund,Mutual Fund,Low,9.09,3-7 years,Low,Medium,33663,523930,Low,Tax Savers,College Fund,8.66,13.33,6.06,15.1,1.68,16.84,Tax-free dividends,4.6,1,1.88
be1f9b4a-4fd6-43db-80f7-0b726f863d19,Bennett LLC Investment Fund,Real Estate,Low,7.15,1-3 years,High,High,22776,831172,Moderate,Tax Savers,Tax Savings,8.89,7.66,11.05,11.85,1.95,30.77,Tax-deferred growth,5.0,3,2.11
b765c2d4-9362-4035-a1ad-dad60bdcf702,"Ortiz, Smith and White Investment Fund",Mutual Fund,Medium,8.93,7+ years,Low,High,28326,559698,Low,Retirees,Tax Savings,4.5,13.72,10.92,18.24,1.59,44.68,None,4.2,4,0.41
b949876f-9772-43f3-a2e4-6f8c78d8f5c4,Williams LLC Investment Fund,Stock Portfolio,Low,11.66,3-7 years,High,High,5272,943758,Moderate,Tax Savers,College Fund,5.49,11.79,11.65,18.43,1.97,35.23,Tax-free dividends,3.7,3,1.13
ec5d7378-9593-4f0c-bbf3-6b1a35a6c90a,Lopez Group Investment Fund,Real Estate,Medium,5.68,7+ years,Low,High,8565,121447,Low,Retirees,Tax Savings,4.14,7.37,8.65,7.37,1.88,26.83,Tax-free dividends,4.3,3,0.78
469ce3dc-3eb3-4f3e-ac8d-406023a15f40,Rivas Ltd Investment Fund,Stock Portfolio,High,3.31,3-7 years,Low,Low,15496,661301,Low,General Public,Wealth Creation,7.17,6.19,4.33,15.65,0.83,27.23,None,4.0,3,2.17
caa17d8c-5bd4-4a4f-844d-3567f9098638,Goodwin-Obrien Investment Fund,Mutual Fund,High,14.77,3-7 years,Medium,High,49769,598365,Low,Retirees,Emergency Fund,9.31,12.94,13.53,10.87,0.57,17.57,Tax-deferred growth,4.8,2,1.59
5e582fda-25b1-4772-9edc-49080f7531b9,Anderson Group Investment Fund,Real Estate,High,7.05,3-7 years,Low,Low,22208,503653,Moderate,High Net Worth Individuals,Emergency Fund,10.0,8.82,6.0,16.86,1.8,26.13,None,4.7,1,0.09
9fd94095-09a9-4ddc-b532-552c965e2159,"David, Martin and Waller Investment Fund",ETFs,Medium,4.67,7+ years,Low,High,19848,471132,Moderate,High Net Worth Individuals,College Fund,4.97,9.66,9.44,14.89,1.59,26.71,None,4.6,1,0.82
172b202d-7d1c-4408-8e42-e6e68926809b,Snyder Ltd Investment Fund,Bond,High,4.73,1-3 years,High,Low,19332,766737,Low,General Public,Tax Savings,7.49,8.61,5.63,19.12,0.77,21.83,None,4.1,3,2.24
4afd06cb-9bcc-4e40-8fe4-0096adea1e83,Burch PLC Investment Fund,Mutual Fund,High,10.58,3-7 years,High,Medium,45142,649914,High,General Public,Retirement Planning,15.02,14.29,13.67,6.94,0.81,17.94,Tax-free dividends,3.8,2,0.76
e159d4aa-9183-49c0-85b8-ab506afb02f3,"Cunningham, Sheppard and Hodge Investment Fund",Real Estate,Medium,8.5,3-7 years,High,Medium,42568,549193,Low,Tax Savers,Tax Savings,9.96,4.5,12.19,14.89,0.71,38.19,Tax-free dividends,4.0,2,1.51
e35c59f9-5d3b-4d5e-ac57-c2f67d329442,"Johnson, Medina and Carter Investment Fund",ETFs,Medium,4.27,7+ years,High,High,47695,357258,Moderate,Young Professionals,Retirement Planning,8.37,4.07,6.67,19.04,1.7,27.1,Tax-deferred growth,4.7,3,2.45
9bae2a47-66b0-4133-b95c-d05f7c55c005,Robinson-Cummings Investment Fund,Bond,Medium,5.62,1-3 years,Medium,High,7322,592180,High,High Net Worth Individuals,Retirement Planning,9.51,7.17,8.66,14.62,1.04,25.37,Tax-free dividends,5.0,3,1.84
28a985f5-5e9a-48e3-9701-7f01389e6d00,Graham and Sons Investment Fund,Stock Portfolio,Medium,9.6,7+ years,Low,Low,6736,10528,Moderate,Young Professionals,Wealth Creation,7.3,6.45,8.99,8.86,1.87,46.11,Tax-free dividends,3.9,2,2.95
c3913df9-94cc-4c89-93ba-ed830bd3df7d,"Farmer, Peterson and Jenkins Investment Fund",Stock Portfolio,Low,7.53,1-3 years,High,Low,5425,216105,Moderate,General Public,College Fund,6.31,6.07,5.15,5.98,0.65,20.81,Tax-free dividends,3.7,4,0.57
777e2552-66f7-4c2f-a880-d13876b2014d,Baldwin-French Investment Fund,Bond,Medium,8.51,1-3 years,High,High,39576,44900,Low,Retirees,Tax Savings,7.85,11.92,10.28,15.55,0.75,16.41,Tax-deferred growth,3.7,3,0.75
2e89b2b5-eb2c-4d09-b719-9ea571c53dc1,Donaldson-Smith Investment Fund,ETFs,Medium,14.93,7+ years,High,Low,12826,946823,High,Retirees,Wealth Creation,19.49,8.47,19.92,5.56,1.65,44.98,Tax-deferred growth,3.9,2,1.06
92f6a4cf-a92d-482d-87aa-f5a0b2248918,Reeves PLC Investment Fund,ETFs,Low,5.89,3-7 years,High,Medium,33543,154453,Moderate,Young Professionals,Wealth Creation,7.11,6.09,5.97,18.23,0.62,28.55,None,4.0,5,1.67
8f9e89a4-91a2-435f-a806-d9aeab9cb92e,Patterson-Lawrence Investment Fund,ETFs,Low,7.93,7+ years,Medium,High,12469,111252,Moderate,Retirees,Wealth Creation,8.2,10.84,6.0,18.42,1.98,31.64,None,4.6,4,0.8
7812804b-eb04-4d31-9e96-ce3f00c0e94f,"Lawrence, Campos and Hernandez Investment Fund",ETFs,High,10.8,3-7 years,Medium,High,28744,180586,Moderate,Tax Savers,Emergency Fund,14.83,9.81,6.25,17.54,1.53,43.37,Tax-deferred growth,4.8,4,0.86
496d30b5-f260-4b9a-88c8-bbf14585a6a1,"Jacobs, Mitchell and White Investment Fund",ETFs,Low,5.9,7+ years,Low,Low,28421,357685,Moderate,High Net Worth Individuals,College Fund,7.2,8.76,6.48,16.76,1.15,19.79,Tax-deferred growth,3.8,3,1.67
e894604e-b1f6-4477-8a44-2ba30bcdc692,Ramirez and Sons Investment Fund,Real Estate,Low,12.96,1-3 years,Medium,Medium,23084,437295,High,Young Professionals,Retirement Planning,12.23,5.09,16.08,11.35,1.66,13.78,Tax-deferred growth,3.8,4,0.11
8449038a-675c-4822-b102-0b2b449ee24f,Price-Paul Investment Fund,ETFs,High,10.96,1-3 years,Low,Medium,9772,144724,Low,Tax Savers,Retirement Planning,6.34,4.53,13.1,6.09,1.29,33.16,None,4.3,5,2.65
ac246c76-d6b6-4ae5-b52b-c09a66fce35f,Woods-Golden Investment Fund,Stock Portfolio,Medium,4.4,1-3 years,Low,Low,26105,815790,Low,Retirees,Emergency Fund,8.19,6.57,4.65,13.68,0.87,19.41,Tax-deferred growth,4.2,3,1.27
2ac72ce5-5050-411a-828d-235b15f8dd6c,"Davis, Randolph and Smith Investment Fund",Real Estate,Medium,12.05,7+ years,High,Low,22003,105801,Low,Young Professionals,Retirement Planning,7.14,13.99,12.27,15.33,0.64,42.87,Tax-free dividends,4.4,2,2.9
e453665c-1e92-4f1e-aa98-615f81dbb828,Johnson and Sons Investment Fund,Mutual Fund,Low,4.8,1-3 years,Medium,High,4251,526826,Moderate,Retirees,Retirement Planning,9.61,5.71,8.12,8.42,1.51,34.73,Tax-free dividends,4.2,4,0.58
a11cdeee-a48c-4be0-82e9-d4a60adcc50f,Wood Group Investment Fund,Bond,High,8.42,3-7 years,Low,Low,27010,199747,Moderate,Tax Savers,College Fund,5.95,13.32,4.99,6.62,0.81,22.31,Tax-deferred growth,4.7,3,2.49
54a59aed-3cbc-4b0e-9bea-2daf68374326,"Mckinney, Nelson and Welch Investment Fund",Real Estate,Low,11.72,1-3 years,High,Medium,15733,61507,High,Tax Savers,Wealth Creation,5.56,12.33,9.5,14.27,1.66,39.32,Tax-free dividends,4.3,2,0.31
e0c91978-51dd-4bda-b00b-6e34fa791fb9,"Landry, Walters and James Investment Fund",Bond,Medium,4.91,1-3 years,High,Low,16240,968775,Low,Young Professionals,Wealth Creation,5.51,9.65,4.11,18.52,1.53,41.81,Tax-deferred growth,4.1,3,1.06
0b2211f1-cea1-46e3-a6fd-39b28621bbcb,"Acosta, Diaz and Morgan Investment Fund",Stock Portfolio,Medium,10.92,7+ years,High,Medium,29399,638846,Moderate,General Public,Retirement Planning,10.92,11.64,10.8,8.07,0.56,35.44,None,4.5,3,1.84
abe291aa-26f6-4076-abd4-a21da4ead432,"Gonzalez, Pittman and Campbell Investment Fund",ETFs,Low,14.35,1-3 years,High,Medium,39348,429918,Moderate,Tax Savers,Tax Savings,10.16,15.1,16.19,11.02,1.22,40.54,None,4.5,1,1.34
5f967b71-efe6-45e2-9777-c5b444688698,Smith and Sons Investment Fund,ETFs,High,5.44,3-7 years,High,High,11497,646824,High,Tax Savers,Tax Savings,5.22,4.87,5.42,10.1,1.11,43.45,None,3.9,5,2.32
9466b962-f849-4a59-b287-95b71061fd97,"Lopez, Bryant and Golden Investment Fund",Bond,Medium,13.98,1-3 years,Medium,High,16452,438596,Moderate,High Net Worth Individuals,College Fund,17.47,8.17,17.62,10.91,0.77,16.73,Tax-deferred growth,4.2,5,0.72
2917d78d-80e3-46d0-9797-43a3460cc9ba,Dunn Inc Investment Fund,Stock Portfolio,High,5.96,7+ years,Medium,Medium,27080,112545,High,Retirees,Retirement Planning,4.7,8.96,6.99,11.31,1.66,23.33,None,4.2,2,2.9
43bc0ff3-67e5-49be-995e-dd6f14cd51ef,"Valdez, Johnson and Davis Investment Fund",ETFs,Medium,8.3,1-3 years,High,High,39766,352458,Low,General Public,Tax Savings,12.36,4.07,9.25,9.83,1.04,23.78,None,3.8,5,2.31
efe595aa-2c15-46e2-8ebf-668141ba4fbf,"Johnson, Anderson and Long Investment Fund",Real Estate,Low,11.95,3-7 years,Medium,Low,14617,689607,Moderate,Retirees,College Fund,5.79,7.76,4.05,13.72,0.61,15.56,None,4.9,5,0.55
ad7bd803-01f1-4fa0-8615-af3aada45b82,Brown LLC Investment Fund,Bond,Medium,13.31,3-7 years,High,Low,24793,521549,Low,Young Professionals,College Fund,5.41,8.41,4.86,17.72,1.84,14.95,Tax-free dividends,4.6,1,2.33
11e3607a-1863-4a60-a178-8d282edaf4c0,"Andrews, Shelton and Edwards Investment Fund",ETFs,Low,7.34,3-7 years,High,Medium,6929,423745,Low,High Net Worth Individuals,Wealth Creation,11.74,8.9,11.49,5.51,1.8,17.91,Tax-deferred growth,4.5,2,0.1
d514b937-e783-4699-be6c-fa227e2472dc,"Norman, West and Guzman Investment Fund",Bond,Low,9.43,3-7 years,High,Low,12709,124989,Low,Retirees,Wealth Creation,5.84,11.55,8.13,14.97,1.8,24.65,Tax-free dividends,4.2,2,0.1
c48214c7-a08a-435a-aa32-2a8996e749a6,"Cobb, Hill and Rice Investment Fund",Stock Portfolio,Low,13.22,7+ years,High,High,46118,186754,High,General Public,Tax Savings,4.44,16.01,17.8,6.42,0.83,11.65,Tax-free dividends,3.6,4,0.65
49b3a623-8552-4350-8f50-5a2955a3b599,Cook-Moore Investment Fund,Mutual Fund,Low,10.83,7+ years,High,Low,22084,256363,Low,High Net Worth Individuals,Wealth Creation,5.72,7.71,7.76,12.84,1.39,48.18,None,4.4,4,3.0
3597e562-93fb-402d-bed1-a240bcddbad7,Cabrera-Jones Investment Fund,Bond,High,11.92,7+ years,Medium,High,1751,473459,High,High Net Worth Individuals,College Fund,7.44,8.14,8.11,15.93,0.77,40.58,Tax-free dividends,4.6,3,1.92
57a5da7b-70b4-430b-b1b2-df31dc23992f,Ramirez LLC Investment Fund,Real Estate,High,5.79,7+ years,High,Medium,15301,392614,Low,Retirees,Wealth Creation,9.03,8.69,9.94,9.72,1.81,30.84,Tax-free dividends,4.8,3,2.73
acb4cbbb-86ba-40d3-9984-f29dbe67ad74,"Thomas, Fisher and Dixon Investment Fund",Real Estate,High,12.9,3-7 years,Low,Low,13017,594924,Moderate,General Public,Retirement Planning,5.46,5.6,15.42,6.87,1.41,13.22,Tax-deferred growth,3.6,1,1.07
9188b05c-d8e0-4ce3-9938-2f2a855fe937,"Johnson, Hart and Church Investment Fund",Mutual Fund,Low,7.83,7+ years,Medium,Medium,35482,308013,Moderate,Retirees,Retirement Planning,6.8,9.52,7.67,7.55,0.93,45.95,Tax-deferred growth,4.6,4,1.75
d379569b-6dd6-4622-87e6-46add7fa012f,Whitaker-Parker Investment Fund,Real Estate,Medium,12.85,7+ years,High,Medium,46143,873118,Low,General Public,College Fund,12.44,16.59,17.84,8.92,0.5,42.65,Tax-deferred growth,4.3,4,2.29
da88af24-1b6a-4628-82e8-fefe7f58ee62,Armstrong and Sons Investment Fund,ETFs,Medium,8.79,1-3 years,Medium,Low,42373,72124,Low,General Public,College Fund,4.3,10.7,5.13,13.57,1.86,11.08,Tax-deferred growth,4.7,1,1.73
c964147f-2372-453b-a722-7465a82c4d83,Roman PLC Investment Fund,Stock Portfolio,Low,13.23,1-3 years,Medium,Medium,20250,217261,Moderate,High Net Worth Individuals,Retirement Planning,10.95,5.03,8.97,18.84,1.95,42.22,Tax-free dividends,4.1,2,2.91
621489c4-1a54-49e3-a059-449e41ec5266,Miller-Martin Investment Fund,Stock Portfolio,Medium,14.97,3-7 years,High,Medium,7229,542976,Low,Young Professionals,Emergency Fund,9.88,6.5,11.2,12.31,1.23,28.97,None,3.5,1,1.33
605fe014-7596-48bf-819f-d577186b4cbd,"Sandoval, Tucker and Deleon Investment Fund",Stock Portfolio,Medium,8.37,1-3 years,Medium,Medium,48751,633075,High,Retirees,Tax Savings,10.51,6.56,4.1,13.64,0.78,12.2,Tax-deferred growth,4.7,5,2.56
6f87e35f-fdd1-4454-b683-f57db0321372,Martinez-Wilson Investment Fund,ETFs,Low,11.74,1-3 years,High,Low,39226,486161,Moderate,Tax Savers,College Fund,5.37,6.53,11.27,9.37,1.65,28.36,None,4.2,2,0.73
0a7754e8-0503-4268-8f88-7ab9f52f1d7a,Fitzgerald Ltd Investment Fund,Bond,High,3.01,1-3 years,Medium,Low,21285,316509,High,Tax Savers,College Fund,5.41,4.73,4.06,19.29,1.72,20.76,Tax-deferred growth,4.5,3,1.92
2cafd9ff-88aa-45ce-bb99-17e08a45fbcc,"White, Ingram and Lee Investment Fund",Mutual Fund,High,12.38,3-7 years,High,Low,18730,894568,Moderate,High Net Worth Individuals,Tax Savings,12.97,6.65,8.9,13.49,0.93,41.59,Tax-deferred growth,4.0,4,1.08
f20b62a2-4eea-4274-bb35-c7dcd8ab1438,Fitzgerald-Williams Investment Fund,Mutual Fund,Medium,3.75,1-3 years,High,Medium,15569,206283,Low,Tax Savers,College Fund,4.81,8.13,5.43,16.41,0.7,10.08,Tax-free dividends,3.8,4,2.56
a89ce8c2-a903-4de9-9919-1c4142867adb,Robinson Inc Investment Fund,ETFs,High,11.49,3-7 years,Low,Low,1488,540306,Moderate,Tax Savers,Wealth Creation,14.21,6.62,4.69,14.05,1.2,14.76,Tax-free dividends,3.7,4,2.32
6ff82a04-3eb5-4cbb-ab29-934c0b58510b,"Lawrence, Doyle and Garcia Investment Fund",Bond,Low,13.89,3-7 years,Low,High,35049,346323,Moderate,Young Professionals,Retirement Planning,10.6,16.9,9.26,8.84,0.55,17.81,Tax-free dividends,4.4,2,1.49
92ff8199-5d2b-4b7d-b555-2384657246d3,Whitaker-Crawford Investment Fund,Stock Portfolio,Low,10.41,1-3 years,Low,Low,5923,296691,High,High Net Worth Individuals,Wealth Creation,6.55,10.97,5.02,12.11,1.41,42.25,None,3.8,5,2.23
b93499d0-bcfc-439f-acfd-20b1d6a40f82,Jackson-Roberts Investment Fund,Real Estate,Medium,14.35,3-7 years,High,High,2493,963197,High,Tax Savers,Wealth Creation,7.33,7.05,10.53,7.37,1.42,37.47,Tax-deferred growth,3.6,2,0.34
